# Словарь произношения — казахская речь тьютора (Спарк, Джарвис).
#
# Формат: как ПИШЕМ<TAB>как ЧИТАЕМ. Одна запись на строку, разделитель —
# табуляция (не пробелы). Строка с решёткой в начале — комментарий.
#
# Зачем он вообще. Инструкции диктору (OPENAI_TTS_PRONUNCIATION в agent.py)
# задают фонетику ЯЗЫКА — «читай қ как [q]», «ударение на последний слог». На
# отдельное слово они не действуют, а провайдер словаря произношения не имеет
# (в отличие от Azure с его lexicon). Единственный способ починить конкретное
# слово — подменить его написание перед синтезом. Правка слышна только в
# голосе: на экране ученик видит нормальный текст (подмена стоит в tts_node,
# ниже субтитров).
#
# КАК ПОЛЬЗОВАТЬСЯ. Услышали, что тьютор произносит слово неправильно —
# добавьте строку: слева как оно пишется, справа как его надо ПРОЧИТАТЬ, чтобы
# получилось правильно. Справа не транскрипция, а обычные буквы: пишем так, как
# если бы диктовали человеку. Регистр не важен, слово ищется целиком.
#
# Файл читается на СТАРТЕ ВОРКЕРА. После правки перезапустить агента
# (локально — рестарт процесса, на LiveKit Cloud — `lk agent deploy`).
# Путь двойной: <repo-root>/data/pronunciation-kk.tsv в дев-режиме и
# agent/pronunciation-kk.tsv внутри Docker-образа. Копии держать синхронными.
#
# Цифры сюда писать НЕ НАДО: они разворачиваются в казахские числительные
# автоматически (number_to_kazakh), «2026» → «екі мың жиырма алты».
#
# ── Имена и бренды ─────────────────────────────────────────────────────────
# Латиница внутри казахской фразы читается по-английски (так велит инструкция
# диктору), поэтому имя бренда доезжает правильно и без записи. А вот
# кириллическое имя тьютора модель тянет к русской фонетике.
Джарвис	Жарвис
# ── Аббревиатуры ───────────────────────────────────────────────────────────
# Читаются по буквам, иначе синтез пытается сложить из них слово.
IELTS	I E L T S
CEFR	C E F R
# ── Уровни CEFR ────────────────────────────────────────────────────────────
# Стоят ПОСЛЕ разворота цифр, поэтому ключ здесь уже со словом: «A1» к этому
# моменту превратился в «A бір». Уровень называют по-английски.
A бір	A one
A екі	A two
B бір	B one
B екі	B two
C бір	C one
C екі	C two
